Governate,Area Name,ATM Name,Latitude,Longitude,Description
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.912211,30.170589,withdraw
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.91078908,30.17701905,full function
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.81405902,29.98830245,full function
Al-Behera,Abu Al Matamir,Abu Al Matamir,30.91584,30.176447,withdraw
Al-Behera,Abu Al Matamir,Higher Institute of Administrative Scie. Janaklis,30.8601142,30.15493118,withdraw
Al-Behera,Abu Al Matamir,Etsalat - Almostaqbal Franchiez -Abo Almatamir,30.9063534,30.1736873,withdraw
Al-Behera,Abu Al Matamir,Etsalat Albehera,30.91158881,30.17717889,withdraw
Al-Behera,Abu Al Matamir,Abo Almatamir Health Administration,30.912211,30.170589,cash dispenser only
Al-Behera,Abu Al Matamir,Abu Almatamir Central Hospital,30.91584,30.176447,cash dispenser only
Al-Behera,Abu Al Matamir,Tamwely Abu El Matamir,30.91290404,30.17689168,withdraw and deposit
Al-Behera,Abu Al Matamir,Tanmiya Abu El Matamir,30.91144225,30.17490715,withdraw and deposit
Al-Behera,Abu Al Matamir,Tanmiya Nasser,30.92230447,29.95121672,withdraw and deposit
Al-Behera,Abu Homos,Abu Homos,31.099697,30.311892,withdraw
Al-Behera,Abu Homos,Abu Homos,31.100602,30.31555,withdraw
Al-Behera,Abu Homos,Abu Homos,31.1033,30.310782,withdraw
Al-Behera,Abu Homos,Abu Homos,31.0978262,30.31474322,full function
Al-Behera,Abu Homos,Abu Homos,31.105004,30.314502,withdraw
Al-Behera,Abu Homos,Abo Homos Educational Administration,31.1033,30.310782,withdraw
Al-Behera,Abu Homos,The local unit Abo Homos,31.100602,30.31555,withdraw
Al-Behera,Abu Homos,Abu Homos Central Hospital,31.105004,30.314502,cash dispenser only
Al-Behera,Abu Homos,Abo Homos Health Administration,31.099697,30.311892,cash dispenser only
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.18275058,30.52755669,full function
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.184945,30.52952,withdraw
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.175947,30.529477,withdraw
Al-Behera,Al Mahmoudeya,Al Mahmoudeya,31.183878,30.519738,withdraw
Al-Behera,Al Mahmoudeya,Misr Exchange Almahmoudia,31.1824926,30.52713284,withdraw
Al-Behera,Al Mahmoudeya,Etsalat - Almostaqbal Franchiez -Almahmoudia,31.1838385,30.52745446,withdraw
Al-Behera,Al Mahmoudeya,Alatf Electricity Production Station - Mahmoudiya,31.184945,30.52952,withdraw
Al-Behera,Al Mahmoudeya,Mahmoudia power plant,31.175947,30.529477,withdraw
Al-Behera,Al Mahmoudeya,Mahmoudia General Hospital,31.183878,30.519738,withdraw
Al-Behera,Al Mahmoudeya,Tanmiya Mahmoudia,31.18416312,30.52710423,withdraw and deposit
Al-Behera,Al Rahmaneya,Al Rahmaneya,31.10691837,30.64172916,full function
Al-Behera,Al Rahmaneya,Al Rahmaneya,31.103395,30.638362,withdraw
Al-Behera,Al Rahmaneya,Tanmiya Rahmania,31.10958367,30.63910172,withdraw and deposit
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.67059438,30.07277643,withdraw
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.671835,30.073109,withdraw
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.632194,30.2275,withdraw
Al-Behera,Alnobaria Algadida,Alnobaria Algadida,30.662002,30.08606,withdraw
Al-Behera,Alnobaria Algadida,New Nubaria City Development Authority,30.671835,30.073109,cash dispenser only
Al-Behera,Alnobaria Algadida,Alwady Company For Feed - Alnoubaria,30.662002,30.08606,cash dispenser only
Al-Behera,Alnobaria Algadida,Noubaria Company for the manufacture and refining of sugar,30.632194,30.2275,cash dispenser only
Al-Behera,Damanhour,Damanhour,31.026177,30.451221,withdraw
Al-Behera,Damanhour,Damanhour,31.051574,30.463915,withdraw
Al-Behera,Damanhour,Damanhour,31.032701,30.464771,withdraw
Al-Behera,Damanhour,Damanhour,31.036388,30.457638,full function
Al-Behera,Damanhour,Damanhour,31.037774,30.433125,full function
Al-Behera,Damanhour,Damanhour,31.052879,30.462731,full function
Al-Behera,Damanhour,Damanhour,31.03936,30.455253,withdraw
Al-Behera,Damanhour,Damanhour,31.03975,30.458095,withdraw
Al-Behera,Damanhour,Damanhour,31.044442,30.470853,withdraw
Al-Behera,Damanhour,Damanhour,31.03450281,30.47469798,withdraw
Al-Behera,Damanhour,Damanhour,31.03449464,30.47471262,withdraw
Al-Behera,Damanhour,Damanhour,31.04241948,30.46890924,full function
Al-Behera,Damanhour,Damanhour,31.036522,30.456495,withdraw
Al-Behera,Damanhour,Damanhour,31.04408,30.475274,withdraw
Al-Behera,Damanhour,Damanhour,31.041921,30.473102,withdraw
Al-Behera,Damanhour,Damanhour,31.040307,30.468207,withdraw
Al-Behera,Damanhour,19011 Pharmacy Damanhour,31.04438807,30.4667885,withdraw
Al-Behera,Damanhour,Albuhiera Azhar Area 2,31.05193166,30.46430279,full function
Al-Behera,Damanhour,Middle Damanhour Electricity Company,31.04444207,30.47085251,withdraw
Al-Behera,Damanhour,Damanhour train station,31.03428061,30.46823018,withdraw
Al-Behera,Damanhour,Carrefour - Damanhour,31.03732147,30.45559064,full function
Al-Behera,Damanhour,Sharnoub Community Development Association,31.013742,30.57017929,full function
Al-Behera,Damanhour,We Ciao Mall Albuhira,31.0463062,30.4652941,full function
Al-Behera,Damanhour,Damanhour State Cases Authority ,31.040307,30.468207,withdraw
Al-Behera,Damanhour,General Office of the Middle Delta Company for the production of electricity in Damanhour,31.03936,30.455253,withdraw
Al-Behera,Damanhour,General Office of Buhaira Governorate,31.03975,30.458095,withdraw
Al-Behera,Damanhour,Behira Azhar Area,31.051574,30.463915,cash dispenser only
Al-Behera,Damanhour,Albehira Agricultural Administration,31.026177,30.451221,cash dispenser only
Al-Behera,Damanhour,Albuhaira Youth and Sports Directorate,31.036522,30.456495,cash dispenser only
Al-Behera,Damanhour,The local unit of the Council and the city of Damanhur,31.032701,30.464771,cash dispenser only
Al-Behera,Damanhour,Alsorady Hypermarket - Damanhour,31.041921,30.473102,cash dispenser only
Al-Behera,Damanhour,Directorate of Roads and Transportation in Beheira,31.04408,30.475274,cash dispenser only
Al-Behera,Damanhour,Damanhour University - Faculty of Commerce,31.037774,30.433125,full function
Al-Behera,Damanhour,Ranin Damanhour,31.02842246,30.44735618,full function
Al-Behera,Damanhour,Damanhour University - Faculty of Pharmacy and Science,31.052879,30.462731,full function
Al-Behera,Damanhour,Damanhour University - Faculty of Arts,31.036388,30.457638,full function
Al-Behera,Damanhour,The local unit of the village of Aflaqa,31.06715304,30.47713406,withdraw and deposit
